Stock,Region,Variable,Coefficient,PValue,Significant,R2
HDFC,North,Temperature,0.00014856612440718343,0.5961581329666192,False,0.006743411676811917
HDFC,North,Precipitation,-5.675348853885427e-05,0.4161503940676624,False,0.006743411676811917
HDFC,North,Temp_lag1,-5.6626444887993886e-05,0.8429598463497376,False,0.006743411676811917
HDFC,North,Precip_lag1,-1.3578647564063566e-05,0.7371495615449574,False,0.006743411676811917
HDFC,South,Temperature,0.0002857579042535713,0.6327012263992966,False,0.007289473647100531
HDFC,South,Precipitation,0.00011654219845017942,0.07084352725751895,False,0.007289473647100531
HDFC,South,Temp_lag1,1.636268739074039e-05,0.9783773842006832,False,0.007289473647100531
HDFC,South,Precip_lag1,3.736135571645921e-07,0.9960991933262185,False,0.007289473647100531
HDFC,East,Temperature,0.0006360347655124486,0.07383033461475033,False,0.00799193658856745
HDFC,East,Precipitation,5.3708884847016455e-06,0.889553726290673,False,0.00799193658856745
HDFC,East,Temp_lag1,-0.0004525210691960417,0.209121412219598,False,0.00799193658856745
HDFC,East,Precip_lag1,-2.838642635163016e-05,0.3913750348155297,False,0.00799193658856745
HDFC,West,Temperature,0.0002062592927095532,0.6653342488276105,False,0.007271842508446258
HDFC,West,Precipitation,3.7597248147322764e-05,0.11673478657524905,False,0.007271842508446258
HDFC,West,Temp_lag1,0.00014424797126671817,0.7763250246769001,False,0.007271842508446258
HDFC,West,Precip_lag1,-2.0116297178734175e-05,0.32295275168026394,False,0.007271842508446258
HDFC,Central,Temperature,0.0003266071432536168,0.37189699173591106,False,0.005997466541319385
HDFC,Central,Precipitation,-2.7486054525183008e-05,0.3695677873003036,False,0.005997466541319385
HDFC,Central,Temp_lag1,-0.00018763607732745824,0.6172049776599671,False,0.005997466541319385
HDFC,Central,Precip_lag1,2.5065516444337173e-05,0.4915220748892436,False,0.005997466541319385
TataPower,North,Temperature,0.00012368298383137947,0.7742748170315632,False,0.004754635650545014
TataPower,North,Precipitation,0.00011075578556532291,0.19972380890862718,False,0.004754635650545014
TataPower,North,Temp_lag1,-4.448864667639663e-05,0.9185830785925323,False,0.004754635650545014
TataPower,North,Precip_lag1,-0.00018879940336723728,0.029410365185673165,True,0.004754635650545014
TataPower,South,Temperature,0.001192435695953929,0.16036838670622255,False,0.006777899110558816
TataPower,South,Precipitation,6.763600589430459e-05,0.5820133271025665,False,0.006777899110558816
TataPower,South,Temp_lag1,-0.0006982314168704648,0.4101606516725531,False,0.006777899110558816
TataPower,South,Precip_lag1,0.00019004916728271423,0.2971153688639562,False,0.006777899110558816
TataPower,East,Temperature,-0.0006787793972304603,0.26346786427588753,False,0.005553200689088156
TataPower,East,Precipitation,3.433950584466023e-05,0.734769161277061,False,0.005553200689088156
TataPower,East,Temp_lag1,0.0009547870685563819,0.13059426725606843,False,0.005553200689088156
TataPower,East,Precip_lag1,-2.8757669143979873e-05,0.7857023930583189,False,0.005553200689088156
TataPower,West,Temperature,0.0010282126205477166,0.14744679700100308,False,0.0037277208743298207
TataPower,West,Precipitation,3.926174702542334e-05,0.25944253022889485,False,0.0037277208743298207
TataPower,West,Temp_lag1,-0.0007026547450552052,0.3152543024518286,False,0.0037277208743298207
TataPower,West,Precip_lag1,1.9352291765749094e-05,0.6024154264425662,False,0.0037277208743298207
TataPower,Central,Temperature,-0.00042435038065187123,0.47552421026359015,False,0.001872135097153782
TataPower,Central,Precipitation,5.0494753211498124e-06,0.9357302564195681,False,0.001872135097153782
TataPower,Central,Temp_lag1,0.0005517362574571425,0.3624543640297486,False,0.001872135097153782
TataPower,Central,Precip_lag1,4.100228959214199e-05,0.47261229737788524,False,0.001872135097153782
UPL,North,Temperature,-0.00027556006286978154,0.5059799247261125,False,0.005851318415446616
UPL,North,Precipitation,2.6252038857723532e-05,0.6089725520549709,False,0.005851318415446616
UPL,North,Temp_lag1,0.00035289451294675096,0.40330888253949104,False,0.005851318415446616
UPL,North,Precip_lag1,-0.0001565357638657047,0.021463143519547482,True,0.005851318415446616
UPL,South,Temperature,0.0004735345371358239,0.5334821741360007,False,0.0023956246160069528
UPL,South,Precipitation,0.00012910745892486382,0.13960109375465637,False,0.0023956246160069528
UPL,South,Temp_lag1,-0.0002395491421093701,0.7455660852289804,False,0.0023956246160069528
UPL,South,Precip_lag1,-3.2932475443032e-05,0.7642756556282368,False,0.0023956246160069528
UPL,East,Temperature,0.0007248679568876222,0.15398200426165642,False,0.0049898522343886365
UPL,East,Precipitation,3.482584627980525e-05,0.5948763648137958,False,0.0049898522343886365
UPL,East,Temp_lag1,-0.0005803582179449967,0.26311099817842887,False,0.0049898522343886365
UPL,East,Precip_lag1,-0.00012128859152226415,0.058250251502712146,False,0.0049898522343886365
UPL,West,Temperature,-0.0009359661221178124,0.16977316589256286,False,0.003609387748354953
UPL,West,Precipitation,1.8234012817974308e-05,0.6413248128564776,False,0.003609387748354953
UPL,West,Temp_lag1,0.0010445740617122219,0.13497624332758185,False,0.003609387748354953
UPL,West,Precip_lag1,5.022426062118893e-06,0.866530139506626,False,0.003609387748354953
UPL,Central,Temperature,-1.842695472638734e-05,0.9705861490870192,False,0.0019066694357673386
UPL,Central,Precipitation,2.2971612309101813e-05,0.6460951296943267,False,0.0019066694357673386
UPL,Central,Temp_lag1,0.0001551057756370826,0.7626388272612066,False,0.0019066694357673386
UPL,Central,Precip_lag1,-3.544824347212086e-05,0.4178570523269155,False,0.0019066694357673386
HUL,North,Temperature,0.00034149685934956676,0.1716604341579019,False,0.008844838039427927
HUL,North,Precipitation,0.00011242745656565494,0.033812920772706125,True,0.008844838039427927
HUL,North,Temp_lag1,-0.00022976311079016146,0.3678541874592106,False,0.008844838039427927
HUL,North,Precip_lag1,-7.25233113190384e-05,0.19560598699513498,False,0.008844838039427927
HUL,South,Temperature,0.0007298370984967553,0.17971706906085705,False,0.00255631698730141
HUL,South,Precipitation,6.335609852963582e-05,0.331281960664606,False,0.00255631698730141
HUL,South,Temp_lag1,-0.0005497530606804593,0.31059924667491035,False,0.00255631698730141
HUL,South,Precip_lag1,-3.555136776935695e-05,0.6140796499850074,False,0.00255631698730141
HUL,East,Temperature,0.0008152268693833339,0.02718071958318212,True,0.006575961525421059
HUL,East,Precipitation,2.126550817709673e-05,0.6413111687497219,False,0.006575961525421059
HUL,East,Temp_lag1,-0.0006767400507715811,0.06287707076233917,False,0.006575961525421059
HUL,East,Precip_lag1,9.940153045446042e-07,0.9851847575661794,False,0.006575961525421059
HUL,West,Temperature,-0.00015039633744940453,0.7424969098512911,False,0.008095391527409124
HUL,West,Precipitation,3.989043474642836e-05,0.11481506966524486,False,0.008095391527409124
HUL,West,Temp_lag1,0.00027964413634118363,0.5660715791307369,False,0.008095391527409124
HUL,West,Precip_lag1,3.309336516303315e-05,0.11955146441196247,False,0.008095391527409124
HUL,Central,Temperature,-0.00016927972787359548,0.605204216686527,False,0.008477533526813574
HUL,Central,Precipitation,-6.619752560302318e-06,0.8871986968240818,False,0.008477533526813574
HUL,Central,Temp_lag1,0.0002560322796513396,0.43904833017469913,False,0.008477533526813574
HUL,Central,Precip_lag1,0.0001119458501698253,0.031056927536806916,True,0.008477533526813574
Indigo,North,Temperature,0.00011731274819073292,0.7809520931219276,False,0.003576723866813958
Indigo,North,Precipitation,5.940317546163671e-06,0.9374211471188272,False,0.003576723866813958
Indigo,North,Temp_lag1,-5.4663643324382076e-05,0.9003877608384311,False,0.003576723866813958
Indigo,North,Precip_lag1,-0.00014530000887461793,0.028183753527007194,True,0.003576723866813958
Indigo,South,Temperature,0.0012148454203616751,0.15580401018251133,False,0.006159960278080745
Indigo,South,Precipitation,0.00012272919468595344,0.2700958493603458,False,0.006159960278080745
Indigo,South,Temp_lag1,-0.0005460199209476725,0.5206986507138689,False,0.006159960278080745
Indigo,South,Precip_lag1,-3.3358061398493265e-05,0.7433309082705671,False,0.006159960278080745
Indigo,East,Temperature,0.0006123261474374616,0.34338000303461347,False,0.00342067838899629
Indigo,East,Precipitation,-4.354755666243071e-05,0.4811516821665046,False,0.00342067838899629
Indigo,East,Temp_lag1,-0.00040675535788384774,0.5272058777670383,False,0.00342067838899629
Indigo,East,Precip_lag1,1.3205130100171955e-05,0.8676312526955615,False,0.00342067838899629
Indigo,West,Temperature,0.00021524052991699899,0.7737072650986018,False,0.0015564693640254257
Indigo,West,Precipitation,2.1941087371685406e-05,0.48291154577376616,False,0.0015564693640254257
Indigo,West,Temp_lag1,2.8588567003164402e-05,0.9695220772769935,False,0.0015564693640254257
Indigo,West,Precip_lag1,-3.385234279548287e-05,0.2917964317949082,False,0.0015564693640254257
Indigo,Central,Temperature,-0.0002946273787881111,0.628463932326776,False,0.003336635083481587
Indigo,Central,Precipitation,-7.252556255892167e-05,0.16458274978954357,False,0.003336635083481587
Indigo,Central,Temp_lag1,0.00041644812499939027,0.49819182562560327,False,0.003336635083481587
Indigo,Central,Precip_lag1,0.00011173052986458251,0.02659025971996136,True,0.003336635083481587
